awikz;Logo que j'utilise personellement pour mes profils sur les réseaux sociaux.;
clermont;Redesign de l'emblème du Clermont Foot.;
infinity;Infinity: Logo d'une application fictive de communication.;
infinitymockup;Logo d'Infinity appliqué sur un mockup.;
mizugon;Mizugon: Logo d'une entreprise fictive d'aeronautique.;
vil;VIL: Logo d'un éditeur fictif de livre.;
visage-bleu;Représentation abstraite d'un visage.;
